job_id,target,treatment_group,effect_type,treatment_candidates,resolved_treatment,missing_treatment_candidates,treatment_lag_min,adjustment_candidates,adjustment_cols_used,adjustment_cols_missing,forbidden_patterns,forbidden_cols_removed,status,error_msg
td_rough_freq_lag30,y_fx_xin1,td_rough_freq,total_effect,fx_s1_td_rough_freq;fx_s1_td_clean_freq;fx_s1_{drug}_freq,fx_s1_td_rough_freq,,30,agg_tm_cyclone_feed_flow;agg_tm_cyclone_feed_pressure;agg_tm_motor_current;agg_tm_cyclone_overflow_pool_level;agg_tm_cyclone_pool_level;agg_tm_cyclone_pump_freq;agg_tm_cyclone_pump_current;agg_tm_cyclone_sand_water_flow;agg_tm_cyclone_sand_valve_setpoint;agg_tm_overflow_pump_current;MC1_FET503_AI;fx_nt*_underflow_density;fx_nt*_motor_current;fx_blower*_pressure;fx_s1_ft1701;fx_s1_ft1702,agg_tm_cyclone_feed_flow;agg_tm_motor_current;agg_tm_cyclone_overflow_pool_level;agg_tm_cyclone_pool_level;agg_tm_cyclone_pump_freq;agg_tm_cyclone_pump_current;agg_tm_cyclone_sand_water_flow;agg_tm_cyclone_sand_valve_setpoint;agg_tm_overflow_pump_current;MC1_FET503_AI;fx_nt1_underflow_density;fx_nt2_underflow_density;fx_nt1_motor_current;fx_nt2_motor_current;fx_blower1_pressure;fx_blower2_pressure;fx_s1_ft1701;fx_s1_ft1702,agg_tm_cyclone_feed_pressure,y_*;lab_*;*_label*;*_target*;*_pred*;fx_s1_ph;fx_s1_*_froth_h;fx_s1_*_air_flow;fx_s1_*_air_sp;fx_s1_*_level;fx_s1_*_level_valve*;fx_s1_*_motor_curr;fx_s1_*_bv_pos;fx_s1_*_drug_curr,,success,
td_rough_freq_lag60,y_fx_xin1,td_rough_freq,total_effect,fx_s1_td_rough_freq;fx_s1_td_clean_freq;fx_s1_{drug}_freq,fx_s1_td_rough_freq,,60,agg_tm_cyclone_feed_flow;agg_tm_cyclone_feed_pressure;agg_tm_motor_current;agg_tm_cyclone_overflow_pool_level;agg_tm_cyclone_pool_level;agg_tm_cyclone_pump_freq;agg_tm_cyclone_pump_current;agg_tm_cyclone_sand_water_flow;agg_tm_cyclone_sand_valve_setpoint;agg_tm_overflow_pump_current;MC1_FET503_AI;fx_nt*_underflow_density;fx_nt*_motor_current;fx_blower*_pressure;fx_s1_ft1701;fx_s1_ft1702,agg_tm_cyclone_feed_flow;agg_tm_motor_current;agg_tm_cyclone_overflow_pool_level;agg_tm_cyclone_pool_level;agg_tm_cyclone_pump_freq;agg_tm_cyclone_pump_current;agg_tm_cyclone_sand_water_flow;agg_tm_cyclone_sand_valve_setpoint;agg_tm_overflow_pump_current;MC1_FET503_AI;fx_nt1_underflow_density;fx_nt2_underflow_density;fx_nt1_motor_current;fx_nt2_motor_current;fx_blower1_pressure;fx_blower2_pressure;fx_s1_ft1701;fx_s1_ft1702,agg_tm_cyclone_feed_pressure,y_*;lab_*;*_label*;*_target*;*_pred*;fx_s1_ph;fx_s1_*_froth_h;fx_s1_*_air_flow;fx_s1_*_air_sp;fx_s1_*_level;fx_s1_*_level_valve*;fx_s1_*_motor_curr;fx_s1_*_bv_pos;fx_s1_*_drug_curr,,success,
td_rough_freq_lag120,y_fx_xin1,td_rough_freq,total_effect,fx_s1_td_rough_freq;fx_s1_td_clean_freq;fx_s1_{drug}_freq,fx_s1_td_rough_freq,,120,agg_tm_cyclone_feed_flow;agg_tm_cyclone_feed_pressure;agg_tm_motor_current;agg_tm_cyclone_overflow_pool_level;agg_tm_cyclone_pool_level;agg_tm_cyclone_pump_freq;agg_tm_cyclone_pump_current;agg_tm_cyclone_sand_water_flow;agg_tm_cyclone_sand_valve_setpoint;agg_tm_overflow_pump_current;MC1_FET503_AI;fx_nt*_underflow_density;fx_nt*_motor_current;fx_blower*_pressure;fx_s1_ft1701;fx_s1_ft1702,agg_tm_cyclone_feed_flow;agg_tm_motor_current;agg_tm_cyclone_overflow_pool_level;agg_tm_cyclone_pool_level;agg_tm_cyclone_pump_freq;agg_tm_cyclone_pump_current;agg_tm_cyclone_sand_water_flow;agg_tm_cyclone_sand_valve_setpoint;agg_tm_overflow_pump_current;MC1_FET503_AI;fx_nt1_underflow_density;fx_nt2_underflow_density;fx_nt1_motor_current;fx_nt2_motor_current;fx_blower1_pressure;fx_blower2_pressure;fx_s1_ft1701;fx_s1_ft1702,agg_tm_cyclone_feed_pressure,y_*;lab_*;*_label*;*_target*;*_pred*;fx_s1_ph;fx_s1_*_froth_h;fx_s1_*_air_flow;fx_s1_*_air_sp;fx_s1_*_level;fx_s1_*_level_valve*;fx_s1_*_motor_curr;fx_s1_*_bv_pos;fx_s1_*_drug_curr,,success,
naoh_freq_lag30,y_fx_xin1,naoh_freq,total_effect,fx_s1_naoh_freq;fx_s1_{drug}_freq,fx_s1_naoh_freq,,30,agg_tm_cyclone_feed_flow;agg_tm_cyclone_feed_pressure;agg_tm_motor_current;agg_tm_cyclone_overflow_pool_level;agg_tm_cyclone_pool_level;agg_tm_cyclone_pump_freq;agg_tm_cyclone_pump_current;agg_tm_cyclone_sand_water_flow;agg_tm_cyclone_sand_valve_setpoint;agg_tm_overflow_pump_current;MC1_FET503_AI;fx_nt*_underflow_density;fx_nt*_motor_current;fx_blower*_pressure;fx_s1_ft1701;fx_s1_ft1702,agg_tm_cyclone_feed_flow;agg_tm_motor_current;agg_tm_cyclone_overflow_pool_level;agg_tm_cyclone_pool_level;agg_tm_cyclone_pump_freq;agg_tm_cyclone_pump_current;agg_tm_cyclone_sand_water_flow;agg_tm_cyclone_sand_valve_setpoint;agg_tm_overflow_pump_current;MC1_FET503_AI;fx_nt1_underflow_density;fx_nt2_underflow_density;fx_nt1_motor_current;fx_nt2_motor_current;fx_blower1_pressure;fx_blower2_pressure;fx_s1_ft1701;fx_s1_ft1702,agg_tm_cyclone_feed_pressure,y_*;lab_*;*_label*;*_target*;*_pred*;fx_s1_ph;fx_s1_*_froth_h;fx_s1_*_air_flow;fx_s1_*_air_sp;fx_s1_*_level;fx_s1_*_level_valve*;fx_s1_*_motor_curr;fx_s1_*_bv_pos;fx_s1_*_drug_curr,,success,
naoh_freq_lag60,y_fx_xin1,naoh_freq,total_effect,fx_s1_naoh_freq;fx_s1_{drug}_freq,fx_s1_naoh_freq,,60,agg_tm_cyclone_feed_flow;agg_tm_cyclone_feed_pressure;agg_tm_motor_current;agg_tm_cyclone_overflow_pool_level;agg_tm_cyclone_pool_level;agg_tm_cyclone_pump_freq;agg_tm_cyclone_pump_current;agg_tm_cyclone_sand_water_flow;agg_tm_cyclone_sand_valve_setpoint;agg_tm_overflow_pump_current;MC1_FET503_AI;fx_nt*_underflow_density;fx_nt*_motor_current;fx_blower*_pressure;fx_s1_ft1701;fx_s1_ft1702,agg_tm_cyclone_feed_flow;agg_tm_motor_current;agg_tm_cyclone_overflow_pool_level;agg_tm_cyclone_pool_level;agg_tm_cyclone_pump_freq;agg_tm_cyclone_pump_current;agg_tm_cyclone_sand_water_flow;agg_tm_cyclone_sand_valve_setpoint;agg_tm_overflow_pump_current;MC1_FET503_AI;fx_nt1_underflow_density;fx_nt2_underflow_density;fx_nt1_motor_current;fx_nt2_motor_current;fx_blower1_pressure;fx_blower2_pressure;fx_s1_ft1701;fx_s1_ft1702,agg_tm_cyclone_feed_pressure,y_*;lab_*;*_label*;*_target*;*_pred*;fx_s1_ph;fx_s1_*_froth_h;fx_s1_*_air_flow;fx_s1_*_air_sp;fx_s1_*_level;fx_s1_*_level_valve*;fx_s1_*_motor_curr;fx_s1_*_bv_pos;fx_s1_*_drug_curr,,success,
naoh_freq_lag120,y_fx_xin1,naoh_freq,total_effect,fx_s1_naoh_freq;fx_s1_{drug}_freq,fx_s1_naoh_freq,,120,agg_tm_cyclone_feed_flow;agg_tm_cyclone_feed_pressure;agg_tm_motor_current;agg_tm_cyclone_overflow_pool_level;agg_tm_cyclone_pool_level;agg_tm_cyclone_pump_freq;agg_tm_cyclone_pump_current;agg_tm_cyclone_sand_water_flow;agg_tm_cyclone_sand_valve_setpoint;agg_tm_overflow_pump_current;MC1_FET503_AI;fx_nt*_underflow_density;fx_nt*_motor_current;fx_blower*_pressure;fx_s1_ft1701;fx_s1_ft1702,agg_tm_cyclone_feed_flow;agg_tm_motor_current;agg_tm_cyclone_overflow_pool_level;agg_tm_cyclone_pool_level;agg_tm_cyclone_pump_freq;agg_tm_cyclone_pump_current;agg_tm_cyclone_sand_water_flow;agg_tm_cyclone_sand_valve_setpoint;agg_tm_overflow_pump_current;MC1_FET503_AI;fx_nt1_underflow_density;fx_nt2_underflow_density;fx_nt1_motor_current;fx_nt2_motor_current;fx_blower1_pressure;fx_blower2_pressure;fx_s1_ft1701;fx_s1_ft1702,agg_tm_cyclone_feed_pressure,y_*;lab_*;*_label*;*_target*;*_pred*;fx_s1_ph;fx_s1_*_froth_h;fx_s1_*_air_flow;fx_s1_*_air_sp;fx_s1_*_level;fx_s1_*_level_valve*;fx_s1_*_motor_curr;fx_s1_*_bv_pos;fx_s1_*_drug_curr,,success,
cao_freq_lag30,y_fx_xin1,cao_freq,total_effect,fx_s1_cao_freq;fx_s1_{drug}_freq,fx_s1_cao_freq,,30,agg_tm_cyclone_feed_flow;agg_tm_cyclone_feed_pressure;agg_tm_motor_current;agg_tm_cyclone_overflow_pool_level;agg_tm_cyclone_pool_level;agg_tm_cyclone_pump_freq;agg_tm_cyclone_pump_current;agg_tm_cyclone_sand_water_flow;agg_tm_cyclone_sand_valve_setpoint;agg_tm_overflow_pump_current;MC1_FET503_AI;fx_nt*_underflow_density;fx_nt*_motor_current;fx_blower*_pressure;fx_s1_ft1701;fx_s1_ft1702,agg_tm_cyclone_feed_flow;agg_tm_motor_current;agg_tm_cyclone_overflow_pool_level;agg_tm_cyclone_pool_level;agg_tm_cyclone_pump_freq;agg_tm_cyclone_pump_current;agg_tm_cyclone_sand_water_flow;agg_tm_cyclone_sand_valve_setpoint;agg_tm_overflow_pump_current;MC1_FET503_AI;fx_nt1_underflow_density;fx_nt2_underflow_density;fx_nt1_motor_current;fx_nt2_motor_current;fx_blower1_pressure;fx_blower2_pressure;fx_s1_ft1701;fx_s1_ft1702,agg_tm_cyclone_feed_pressure,y_*;lab_*;*_label*;*_target*;*_pred*;fx_s1_ph;fx_s1_*_froth_h;fx_s1_*_air_flow;fx_s1_*_air_sp;fx_s1_*_level;fx_s1_*_level_valve*;fx_s1_*_motor_curr;fx_s1_*_bv_pos;fx_s1_*_drug_curr,,success,
cao_freq_lag60,y_fx_xin1,cao_freq,total_effect,fx_s1_cao_freq;fx_s1_{drug}_freq,fx_s1_cao_freq,,60,agg_tm_cyclone_feed_flow;agg_tm_cyclone_feed_pressure;agg_tm_motor_current;agg_tm_cyclone_overflow_pool_level;agg_tm_cyclone_pool_level;agg_tm_cyclone_pump_freq;agg_tm_cyclone_pump_current;agg_tm_cyclone_sand_water_flow;agg_tm_cyclone_sand_valve_setpoint;agg_tm_overflow_pump_current;MC1_FET503_AI;fx_nt*_underflow_density;fx_nt*_motor_current;fx_blower*_pressure;fx_s1_ft1701;fx_s1_ft1702,agg_tm_cyclone_feed_flow;agg_tm_motor_current;agg_tm_cyclone_overflow_pool_level;agg_tm_cyclone_pool_level;agg_tm_cyclone_pump_freq;agg_tm_cyclone_pump_current;agg_tm_cyclone_sand_water_flow;agg_tm_cyclone_sand_valve_setpoint;agg_tm_overflow_pump_current;MC1_FET503_AI;fx_nt1_underflow_density;fx_nt2_underflow_density;fx_nt1_motor_current;fx_nt2_motor_current;fx_blower1_pressure;fx_blower2_pressure;fx_s1_ft1701;fx_s1_ft1702,agg_tm_cyclone_feed_pressure,y_*;lab_*;*_label*;*_target*;*_pred*;fx_s1_ph;fx_s1_*_froth_h;fx_s1_*_air_flow;fx_s1_*_air_sp;fx_s1_*_level;fx_s1_*_level_valve*;fx_s1_*_motor_curr;fx_s1_*_bv_pos;fx_s1_*_drug_curr,,success,
cao_freq_lag120,y_fx_xin1,cao_freq,total_effect,fx_s1_cao_freq;fx_s1_{drug}_freq,fx_s1_cao_freq,,120,agg_tm_cyclone_feed_flow;agg_tm_cyclone_feed_pressure;agg_tm_motor_current;agg_tm_cyclone_overflow_pool_level;agg_tm_cyclone_pool_level;agg_tm_cyclone_pump_freq;agg_tm_cyclone_pump_current;agg_tm_cyclone_sand_water_flow;agg_tm_cyclone_sand_valve_setpoint;agg_tm_overflow_pump_current;MC1_FET503_AI;fx_nt*_underflow_density;fx_nt*_motor_current;fx_blower*_pressure;fx_s1_ft1701;fx_s1_ft1702,agg_tm_cyclone_feed_flow;agg_tm_motor_current;agg_tm_cyclone_overflow_pool_level;agg_tm_cyclone_pool_level;agg_tm_cyclone_pump_freq;agg_tm_cyclone_pump_current;agg_tm_cyclone_sand_water_flow;agg_tm_cyclone_sand_valve_setpoint;agg_tm_overflow_pump_current;MC1_FET503_AI;fx_nt1_underflow_density;fx_nt2_underflow_density;fx_nt1_motor_current;fx_nt2_motor_current;fx_blower1_pressure;fx_blower2_pressure;fx_s1_ft1701;fx_s1_ft1702,agg_tm_cyclone_feed_pressure,y_*;lab_*;*_label*;*_target*;*_pred*;fx_s1_ph;fx_s1_*_froth_h;fx_s1_*_air_flow;fx_s1_*_air_sp;fx_s1_*_level;fx_s1_*_level_valve*;fx_s1_*_motor_curr;fx_s1_*_bv_pos;fx_s1_*_drug_curr,,success,
ph_lag15,y_fx_xin1,ph,conditional_effect,fx_s1_ph;fx_s{s}_ph,fx_s1_ph,,15,agg_tm_cyclone_feed_flow;agg_tm_cyclone_feed_pressure;agg_tm_motor_current;agg_tm_cyclone_overflow_pool_level;agg_tm_cyclone_pool_level;agg_tm_cyclone_pump_freq;agg_tm_cyclone_pump_current;agg_tm_cyclone_sand_water_flow;agg_tm_cyclone_sand_valve_setpoint;agg_tm_overflow_pump_current;MC1_FET503_AI;fx_nt*_underflow_density;fx_nt*_motor_current;fx_blower*_pressure;fx_s1_td_rough_freq;fx_s1_td_clean_freq;fx_s1_naoh_freq;fx_s1_cao_freq;fx_s1_ft1701;fx_s1_ft1702,agg_tm_cyclone_feed_flow;agg_tm_motor_current;agg_tm_cyclone_overflow_pool_level;agg_tm_cyclone_pool_level;agg_tm_cyclone_pump_freq;agg_tm_cyclone_pump_current;agg_tm_cyclone_sand_water_flow;agg_tm_cyclone_sand_valve_setpoint;agg_tm_overflow_pump_current;MC1_FET503_AI;fx_nt1_underflow_density;fx_nt2_underflow_density;fx_nt1_motor_current;fx_nt2_motor_current;fx_blower1_pressure;fx_blower2_pressure;fx_s1_td_rough_freq;fx_s1_td_clean_freq;fx_s1_naoh_freq;fx_s1_cao_freq;fx_s1_ft1701;fx_s1_ft1702,agg_tm_cyclone_feed_pressure,y_*;lab_*;*_label*;*_target*;*_pred*;fx_s1_*_froth_h;fx_s1_*_air_flow;fx_s1_*_air_sp;fx_s1_*_level;fx_s1_*_level_valve*;fx_s1_*_motor_curr;fx_s1_*_bv_pos,,success,
ph_lag30,y_fx_xin1,ph,conditional_effect,fx_s1_ph;fx_s{s}_ph,fx_s1_ph,,30,agg_tm_cyclone_feed_flow;agg_tm_cyclone_feed_pressure;agg_tm_motor_current;agg_tm_cyclone_overflow_pool_level;agg_tm_cyclone_pool_level;agg_tm_cyclone_pump_freq;agg_tm_cyclone_pump_current;agg_tm_cyclone_sand_water_flow;agg_tm_cyclone_sand_valve_setpoint;agg_tm_overflow_pump_current;MC1_FET503_AI;fx_nt*_underflow_density;fx_nt*_motor_current;fx_blower*_pressure;fx_s1_td_rough_freq;fx_s1_td_clean_freq;fx_s1_naoh_freq;fx_s1_cao_freq;fx_s1_ft1701;fx_s1_ft1702,agg_tm_cyclone_feed_flow;agg_tm_motor_current;agg_tm_cyclone_overflow_pool_level;agg_tm_cyclone_pool_level;agg_tm_cyclone_pump_freq;agg_tm_cyclone_pump_current;agg_tm_cyclone_sand_water_flow;agg_tm_cyclone_sand_valve_setpoint;agg_tm_overflow_pump_current;MC1_FET503_AI;fx_nt1_underflow_density;fx_nt2_underflow_density;fx_nt1_motor_current;fx_nt2_motor_current;fx_blower1_pressure;fx_blower2_pressure;fx_s1_td_rough_freq;fx_s1_td_clean_freq;fx_s1_naoh_freq;fx_s1_cao_freq;fx_s1_ft1701;fx_s1_ft1702,agg_tm_cyclone_feed_pressure,y_*;lab_*;*_label*;*_target*;*_pred*;fx_s1_*_froth_h;fx_s1_*_air_flow;fx_s1_*_air_sp;fx_s1_*_level;fx_s1_*_level_valve*;fx_s1_*_motor_curr;fx_s1_*_bv_pos,,success,
ph_lag60,y_fx_xin1,ph,conditional_effect,fx_s1_ph;fx_s{s}_ph,fx_s1_ph,,60,agg_tm_cyclone_feed_flow;agg_tm_cyclone_feed_pressure;agg_tm_motor_current;agg_tm_cyclone_overflow_pool_level;agg_tm_cyclone_pool_level;agg_tm_cyclone_pump_freq;agg_tm_cyclone_pump_current;agg_tm_cyclone_sand_water_flow;agg_tm_cyclone_sand_valve_setpoint;agg_tm_overflow_pump_current;MC1_FET503_AI;fx_nt*_underflow_density;fx_nt*_motor_current;fx_blower*_pressure;fx_s1_td_rough_freq;fx_s1_td_clean_freq;fx_s1_naoh_freq;fx_s1_cao_freq;fx_s1_ft1701;fx_s1_ft1702,agg_tm_cyclone_feed_flow;agg_tm_motor_current;agg_tm_cyclone_overflow_pool_level;agg_tm_cyclone_pool_level;agg_tm_cyclone_pump_freq;agg_tm_cyclone_pump_current;agg_tm_cyclone_sand_water_flow;agg_tm_cyclone_sand_valve_setpoint;agg_tm_overflow_pump_current;MC1_FET503_AI;fx_nt1_underflow_density;fx_nt2_underflow_density;fx_nt1_motor_current;fx_nt2_motor_current;fx_blower1_pressure;fx_blower2_pressure;fx_s1_td_rough_freq;fx_s1_td_clean_freq;fx_s1_naoh_freq;fx_s1_cao_freq;fx_s1_ft1701;fx_s1_ft1702,agg_tm_cyclone_feed_pressure,y_*;lab_*;*_label*;*_target*;*_pred*;fx_s1_*_froth_h;fx_s1_*_air_flow;fx_s1_*_air_sp;fx_s1_*_level;fx_s1_*_level_valve*;fx_s1_*_motor_curr;fx_s1_*_bv_pos,,success,
sx1_air_lag5,y_fx_xin1,sx1_air,total_effect,fx_s1_sx1_air_sp;fx_s1_sx1_air_flow;fx_s1_{c}_air_sp;fx_s1_{c}_air_flow,fx_s1_sx1_air_sp,,5,agg_tm_cyclone_feed_flow;agg_tm_cyclone_feed_pressure;agg_tm_motor_current;agg_tm_cyclone_overflow_pool_level;agg_tm_cyclone_pool_level;agg_tm_cyclone_pump_freq;agg_tm_cyclone_pump_current;agg_tm_cyclone_sand_water_flow;agg_tm_cyclone_sand_valve_setpoint;agg_tm_overflow_pump_current;MC1_FET503_AI;fx_nt*_underflow_density;fx_nt*_motor_current;fx_blower*_pressure;fx_blower1_pressure;fx_blower2_pressure;fx_nt*_underflow_density;fx_nt*_motor_current,agg_tm_cyclone_feed_flow;agg_tm_motor_current;agg_tm_cyclone_overflow_pool_level;agg_tm_cyclone_pool_level;agg_tm_cyclone_pump_freq;agg_tm_cyclone_pump_current;agg_tm_cyclone_sand_water_flow;agg_tm_cyclone_sand_valve_setpoint;agg_tm_overflow_pump_current;MC1_FET503_AI;fx_nt1_underflow_density;fx_nt2_underflow_density;fx_nt1_motor_current;fx_nt2_motor_current;fx_blower1_pressure;fx_blower2_pressure,agg_tm_cyclone_feed_pressure,y_*;lab_*;*_label*;*_target*;*_pred*;fx_s1_*_froth_h;fx_s1_*_level;fx_s1_*_level_valve*;fx_s1_*_motor_curr;fx_s1_*_bv_pos,,success,
sx1_air_lag15,y_fx_xin1,sx1_air,total_effect,fx_s1_sx1_air_sp;fx_s1_sx1_air_flow;fx_s1_{c}_air_sp;fx_s1_{c}_air_flow,fx_s1_sx1_air_sp,,15,agg_tm_cyclone_feed_flow;agg_tm_cyclone_feed_pressure;agg_tm_motor_current;agg_tm_cyclone_overflow_pool_level;agg_tm_cyclone_pool_level;agg_tm_cyclone_pump_freq;agg_tm_cyclone_pump_current;agg_tm_cyclone_sand_water_flow;agg_tm_cyclone_sand_valve_setpoint;agg_tm_overflow_pump_current;MC1_FET503_AI;fx_nt*_underflow_density;fx_nt*_motor_current;fx_blower*_pressure;fx_blower1_pressure;fx_blower2_pressure;fx_nt*_underflow_density;fx_nt*_motor_current,agg_tm_cyclone_feed_flow;agg_tm_motor_current;agg_tm_cyclone_overflow_pool_level;agg_tm_cyclone_pool_level;agg_tm_cyclone_pump_freq;agg_tm_cyclone_pump_current;agg_tm_cyclone_sand_water_flow;agg_tm_cyclone_sand_valve_setpoint;agg_tm_overflow_pump_current;MC1_FET503_AI;fx_nt1_underflow_density;fx_nt2_underflow_density;fx_nt1_motor_current;fx_nt2_motor_current;fx_blower1_pressure;fx_blower2_pressure,agg_tm_cyclone_feed_pressure,y_*;lab_*;*_label*;*_target*;*_pred*;fx_s1_*_froth_h;fx_s1_*_level;fx_s1_*_level_valve*;fx_s1_*_motor_curr;fx_s1_*_bv_pos,,success,
sx1_air_lag30,y_fx_xin1,sx1_air,total_effect,fx_s1_sx1_air_sp;fx_s1_sx1_air_flow;fx_s1_{c}_air_sp;fx_s1_{c}_air_flow,fx_s1_sx1_air_sp,,30,agg_tm_cyclone_feed_flow;agg_tm_cyclone_feed_pressure;agg_tm_motor_current;agg_tm_cyclone_overflow_pool_level;agg_tm_cyclone_pool_level;agg_tm_cyclone_pump_freq;agg_tm_cyclone_pump_current;agg_tm_cyclone_sand_water_flow;agg_tm_cyclone_sand_valve_setpoint;agg_tm_overflow_pump_current;MC1_FET503_AI;fx_nt*_underflow_density;fx_nt*_motor_current;fx_blower*_pressure;fx_blower1_pressure;fx_blower2_pressure;fx_nt*_underflow_density;fx_nt*_motor_current,agg_tm_cyclone_feed_flow;agg_tm_motor_current;agg_tm_cyclone_overflow_pool_level;agg_tm_cyclone_pool_level;agg_tm_cyclone_pump_freq;agg_tm_cyclone_pump_current;agg_tm_cyclone_sand_water_flow;agg_tm_cyclone_sand_valve_setpoint;agg_tm_overflow_pump_current;MC1_FET503_AI;fx_nt1_underflow_density;fx_nt2_underflow_density;fx_nt1_motor_current;fx_nt2_motor_current;fx_blower1_pressure;fx_blower2_pressure,agg_tm_cyclone_feed_pressure,y_*;lab_*;*_label*;*_target*;*_pred*;fx_s1_*_froth_h;fx_s1_*_level;fx_s1_*_level_valve*;fx_s1_*_motor_curr;fx_s1_*_bv_pos,,success,
sx1_air_lag60,y_fx_xin1,sx1_air,total_effect,fx_s1_sx1_air_sp;fx_s1_sx1_air_flow;fx_s1_{c}_air_sp;fx_s1_{c}_air_flow,fx_s1_sx1_air_sp,,60,agg_tm_cyclone_feed_flow;agg_tm_cyclone_feed_pressure;agg_tm_motor_current;agg_tm_cyclone_overflow_pool_level;agg_tm_cyclone_pool_level;agg_tm_cyclone_pump_freq;agg_tm_cyclone_pump_current;agg_tm_cyclone_sand_water_flow;agg_tm_cyclone_sand_valve_setpoint;agg_tm_overflow_pump_current;MC1_FET503_AI;fx_nt*_underflow_density;fx_nt*_motor_current;fx_blower*_pressure;fx_blower1_pressure;fx_blower2_pressure;fx_nt*_underflow_density;fx_nt*_motor_current,agg_tm_cyclone_feed_flow;agg_tm_motor_current;agg_tm_cyclone_overflow_pool_level;agg_tm_cyclone_pool_level;agg_tm_cyclone_pump_freq;agg_tm_cyclone_pump_current;agg_tm_cyclone_sand_water_flow;agg_tm_cyclone_sand_valve_setpoint;agg_tm_overflow_pump_current;MC1_FET503_AI;fx_nt1_underflow_density;fx_nt2_underflow_density;fx_nt1_motor_current;fx_nt2_motor_current;fx_blower1_pressure;fx_blower2_pressure,agg_tm_cyclone_feed_pressure,y_*;lab_*;*_label*;*_target*;*_pred*;fx_s1_*_froth_h;fx_s1_*_level;fx_s1_*_level_valve*;fx_s1_*_motor_curr;fx_s1_*_bv_pos,,success,
sx3_air_lag5,y_fx_xin1,sx3_air,total_effect,fx_s1_sx3_air_sp;fx_s1_sx3_air_flow;fx_s1_{c}_air_sp;fx_s1_{c}_air_flow,fx_s1_sx3_air_sp,,5,agg_tm_cyclone_feed_flow;agg_tm_cyclone_feed_pressure;agg_tm_motor_current;agg_tm_cyclone_overflow_pool_level;agg_tm_cyclone_pool_level;agg_tm_cyclone_pump_freq;agg_tm_cyclone_pump_current;agg_tm_cyclone_sand_water_flow;agg_tm_cyclone_sand_valve_setpoint;agg_tm_overflow_pump_current;MC1_FET503_AI;fx_nt*_underflow_density;fx_nt*_motor_current;fx_blower*_pressure;fx_blower1_pressure;fx_blower2_pressure;fx_nt*_underflow_density;fx_nt*_motor_current,agg_tm_cyclone_feed_flow;agg_tm_motor_current;agg_tm_cyclone_overflow_pool_level;agg_tm_cyclone_pool_level;agg_tm_cyclone_pump_freq;agg_tm_cyclone_pump_current;agg_tm_cyclone_sand_water_flow;agg_tm_cyclone_sand_valve_setpoint;agg_tm_overflow_pump_current;MC1_FET503_AI;fx_nt1_underflow_density;fx_nt2_underflow_density;fx_nt1_motor_current;fx_nt2_motor_current;fx_blower1_pressure;fx_blower2_pressure,agg_tm_cyclone_feed_pressure,y_*;lab_*;*_label*;*_target*;*_pred*;fx_s1_*_froth_h;fx_s1_*_level;fx_s1_*_level_valve*;fx_s1_*_motor_curr;fx_s1_*_bv_pos,,success,
